
##################################################
Entropy Ratio = 0.1
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane'
Global ID = 22 | from: client_26: 'airplane'
Global ID = 23 | from: client_26: 'cat'
Global ID = 24 | from: client_26: 'frog'
Global ID = 25 | from: client_26: 'horse'
Global ID = 26 | from: client_26: 'ship'
Global ID = 27 | from: client_27: 'airplane'
Global ID = 28 | from: client_27: 'automobile'
Global ID = 29 | from: client_27: 'bird'
Global ID = 30 | from: client_27: 'deer'
Global ID = 31 | from: client_27: 'dog'
Global ID = 32 | from: client_27: 'frog'
Global ID = 33 | from: client_27: 'horse'
Global ID = 34 | from: client_27: 'ship'
Global ID = 35 | from: client_28: 'airplane'
Global ID = 36 | from: client_28: 'automobile'
Global ID = 37 | from: client_28: 'cat'
Global ID = 38 | from: client_28: 'dog'
Global ID = 39 | from: client_28: 'horse'
Global ID = 40 | from: client_28: 'truck'
Global ID = 41 | from: client_29: 'bird'
Global ID = 42 | from: client_29: 'horse'
Global ID = 43 | from: client_29: 'ship'
Global ID = 44 | from: client_30: 'dog'
Global ID = 45 | from: client_30: 'frog'
Global ID = 46 | from: client_30: 'horse'
Global ID = 47 | from: client_30: 'ship'
Global ID = 48 | from: client_31: 'airplane'
Global ID = 49 | from: client_31: 'automobile'
Global ID = 50 | from: client_31: 'bird'
Global ID = 51 | from: client_31: 'cat'
Global ID = 52 | from: client_31: 'deer'
Global ID = 53 | from: client_31: 'dog'
Global ID = 54 | from: client_31: 'frog'
Global ID = 55 | from: client_31: 'horse'
Global ID = 56 | from: client_31: 'ship'
Global ID = 57 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.3
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_25: 'deer', client_28: 'cat', client_30: 'dog'
Global ID = 1  | from: client_26: 'truck', client_29: 'truck'
Global ID = 2  | from: client_22: 'airplane'
Global ID = 3  | from: client_22: 'automobile'
Global ID = 4  | from: client_22: 'bird'
Global ID = 5  | from: client_22: 'cat'
Global ID = 6  | from: client_22: 'dog'
Global ID = 7  | from: client_22: 'frog'
Global ID = 8  | from: client_23: 'airplane'
Global ID = 9  | from: client_23: 'bird'
Global ID = 10 | from: client_23: 'cat'
Global ID = 11 | from: client_23: 'deer'
Global ID = 12 | from: client_23: 'frog'
Global ID = 13 | from: client_23: 'horse'
Global ID = 14 | from: client_24: 'deer'
Global ID = 15 | from: client_24: 'dog'
Global ID = 16 | from: client_25: 'airplane'
Global ID = 17 | from: client_25: 'automobile'
Global ID = 18 | from: client_25: 'bird'
Global ID = 19 | from: client_25: 'horse'
Global ID = 20 | from: client_25: 'ship'
Global ID = 21 | from: client_25: 'truck'
Global ID = 22 | from: client_26: 'airplane'
Global ID = 23 | from: client_26: 'cat'
Global ID = 24 | from: client_26: 'frog'
Global ID = 25 | from: client_26: 'horse'
Global ID = 26 | from: client_26: 'ship'
Global ID = 27 | from: client_27: 'airplane'
Global ID = 28 | from: client_27: 'automobile'
Global ID = 29 | from: client_27: 'bird'
Global ID = 30 | from: client_27: 'deer'
Global ID = 31 | from: client_27: 'dog'
Global ID = 32 | from: client_27: 'frog'
Global ID = 33 | from: client_27: 'horse'
Global ID = 34 | from: client_27: 'ship'
Global ID = 35 | from: client_28: 'airplane'
Global ID = 36 | from: client_28: 'automobile'
Global ID = 37 | from: client_28: 'dog'
Global ID = 38 | from: client_28: 'horse'
Global ID = 39 | from: client_28: 'truck'
Global ID = 40 | from: client_29: 'bird'
Global ID = 41 | from: client_29: 'horse'
Global ID = 42 | from: client_29: 'ship'
Global ID = 43 | from: client_30: 'frog'
Global ID = 44 | from: client_30: 'horse'
Global ID = 45 | from: client_30: 'ship'
Global ID = 46 | from: client_31: 'airplane'
Global ID = 47 | from: client_31: 'automobile'
Global ID = 48 | from: client_31: 'bird'
Global ID = 49 | from: client_31: 'cat'
Global ID = 50 | from: client_31: 'deer'
Global ID = 51 | from: client_31: 'dog'
Global ID = 52 | from: client_31: 'frog'
Global ID = 53 | from: client_31: 'horse'
Global ID = 54 | from: client_31: 'ship'
Global ID = 55 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.4
##################################################

==================================================
Label Mapping Summary:
Global ID = 1  | from: client_23: 'horse', client_31: 'horse'
Global ID = 2  | from: client_22: 'dog', client_25: 'deer', client_28: 'cat', client_30: 'dog'
Global ID = 3  | from: client_26: 'airplane', client_28: 'airplane'
Global ID = 4  | from: client_26: 'truck', client_29: 'truck'
Global ID = 5  | from: client_27: 'ship', client_30: 'ship'
Global ID = 6  | from: client_22: 'airplane'
Global ID = 7  | from: client_22: 'automobile'
Global ID = 8  | from: client_22: 'bird'
Global ID = 9  | from: client_22: 'cat'
Global ID = 10 | from: client_22: 'frog'
Global ID = 11 | from: client_23: 'airplane'
Global ID = 12 | from: client_23: 'bird'
Global ID = 13 | from: client_23: 'cat'
Global ID = 14 | from: client_23: 'deer'
Global ID = 15 | from: client_23: 'frog'
Global ID = 16 | from: client_24: 'deer'
Global ID = 17 | from: client_24: 'dog'
Global ID = 18 | from: client_25: 'airplane'
Global ID = 19 | from: client_25: 'automobile'
Global ID = 20 | from: client_25: 'bird'
Global ID = 21 | from: client_25: 'horse'
Global ID = 22 | from: client_25: 'ship'
Global ID = 23 | from: client_25: 'truck'
Global ID = 24 | from: client_26: 'cat'
Global ID = 25 | from: client_26: 'frog'
Global ID = 26 | from: client_26: 'horse'
Global ID = 27 | from: client_26: 'ship'
Global ID = 28 | from: client_27: 'airplane'
Global ID = 29 | from: client_27: 'automobile'
Global ID = 30 | from: client_27: 'bird'
Global ID = 31 | from: client_27: 'deer'
Global ID = 32 | from: client_27: 'dog'
Global ID = 33 | from: client_27: 'frog'
Global ID = 34 | from: client_27: 'horse'
Global ID = 35 | from: client_28: 'automobile'
Global ID = 36 | from: client_28: 'dog'
Global ID = 37 | from: client_28: 'horse'
Global ID = 38 | from: client_28: 'truck'
Global ID = 39 | from: client_29: 'bird'
Global ID = 40 | from: client_29: 'horse'
Global ID = 41 | from: client_29: 'ship'
Global ID = 42 | from: client_30: 'frog'
Global ID = 43 | from: client_30: 'horse'
Global ID = 44 | from: client_31: 'airplane'
Global ID = 45 | from: client_31: 'automobile'
Global ID = 46 | from: client_31: 'bird'
Global ID = 47 | from: client_31: 'cat'
Global ID = 48 | from: client_31: 'deer'
Global ID = 49 | from: client_31: 'dog'
Global ID = 50 | from: client_31: 'frog'
Global ID = 51 | from: client_31: 'ship'
Global ID = 52 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.5
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'frog', client_23: 'frog', client_26: 'frog'
Global ID = 2  | from: client_22: 'dog', client_23: 'bird', client_25: 'deer', client_28: 'cat', client_30: 'dog'
Global ID = 3  | from: client_23: 'horse', client_31: 'horse'
Global ID = 4  | from: client_26: 'airplane', client_28: 'airplane'
Global ID = 5  | from: client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck'
Global ID = 6  | from: client_27: 'ship', client_30: 'ship'
Global ID = 7  | from: client_22: 'airplane'
Global ID = 8  | from: client_22: 'automobile'
Global ID = 9  | from: client_22: 'bird'
Global ID = 10 | from: client_22: 'cat'
Global ID = 11 | from: client_23: 'airplane'
Global ID = 12 | from: client_23: 'cat'
Global ID = 13 | from: client_23: 'deer'
Global ID = 14 | from: client_24: 'deer'
Global ID = 15 | from: client_24: 'dog'
Global ID = 16 | from: client_25: 'airplane'
Global ID = 17 | from: client_25: 'automobile'
Global ID = 18 | from: client_25: 'bird'
Global ID = 19 | from: client_25: 'horse'
Global ID = 20 | from: client_25: 'ship'
Global ID = 21 | from: client_25: 'truck'
Global ID = 22 | from: client_26: 'cat'
Global ID = 23 | from: client_26: 'horse'
Global ID = 24 | from: client_26: 'ship'
Global ID = 25 | from: client_27: 'airplane'
Global ID = 26 | from: client_27: 'bird'
Global ID = 27 | from: client_27: 'deer'
Global ID = 28 | from: client_27: 'dog'
Global ID = 29 | from: client_27: 'frog'
Global ID = 30 | from: client_27: 'horse'
Global ID = 31 | from: client_28: 'dog'
Global ID = 32 | from: client_28: 'horse'
Global ID = 33 | from: client_28: 'truck'
Global ID = 34 | from: client_29: 'bird'
Global ID = 35 | from: client_29: 'horse'
Global ID = 36 | from: client_29: 'ship'
Global ID = 37 | from: client_30: 'frog'
Global ID = 38 | from: client_30: 'horse'
Global ID = 39 | from: client_31: 'airplane'
Global ID = 40 | from: client_31: 'automobile'
Global ID = 41 | from: client_31: 'bird'
Global ID = 42 | from: client_31: 'cat'
Global ID = 43 | from: client_31: 'deer'
Global ID = 44 | from: client_31: 'dog'
Global ID = 45 | from: client_31: 'frog'
Global ID = 46 | from: client_31: 'ship'
Global ID = 47 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.6
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'frog', client_23: 'bird', client_25: 'deer', client_26: 'frog', client_29: 'truck'
Global ID = 1  | from: client_22: 'automobile', client_26: 'truck', client_27: 'automobile', client_28: 'automobile'
Global ID = 4  | from: client_22: 'airplane', client_23: 'airplane', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_30: 'ship'
Global ID = 5  | from: client_22: 'dog', client_23: 'horse', client_27: 'horse', client_28: 'cat', client_30: 'dog', client_31: 'horse'
Global ID = 6  | from: client_23: 'frog', client_31: 'frog'
Global ID = 7  | from: client_25: 'bird', client_27: 'bird'
Global ID = 8  | from: client_22: 'bird'
Global ID = 9  | from: client_22: 'cat'
Global ID = 10 | from: client_23: 'cat'
Global ID = 11 | from: client_23: 'deer'
Global ID = 12 | from: client_24: 'deer'
Global ID = 13 | from: client_24: 'dog'
Global ID = 14 | from: client_25: 'airplane'
Global ID = 15 | from: client_25: 'automobile'
Global ID = 16 | from: client_25: 'horse'
Global ID = 17 | from: client_25: 'ship'
Global ID = 18 | from: client_25: 'truck'
Global ID = 19 | from: client_26: 'cat'
Global ID = 20 | from: client_26: 'horse'
Global ID = 21 | from: client_26: 'ship'
Global ID = 22 | from: client_27: 'airplane'
Global ID = 23 | from: client_27: 'deer'
Global ID = 24 | from: client_27: 'dog'
Global ID = 25 | from: client_27: 'frog'
Global ID = 26 | from: client_28: 'dog'
Global ID = 27 | from: client_28: 'horse'
Global ID = 28 | from: client_28: 'truck'
Global ID = 29 | from: client_29: 'bird'
Global ID = 30 | from: client_29: 'horse'
Global ID = 31 | from: client_29: 'ship'
Global ID = 32 | from: client_30: 'frog'
Global ID = 33 | from: client_30: 'horse'
Global ID = 34 | from: client_31: 'airplane'
Global ID = 35 | from: client_31: 'automobile'
Global ID = 36 | from: client_31: 'bird'
Global ID = 37 | from: client_31: 'cat'
Global ID = 38 | from: client_31: 'deer'
Global ID = 39 | from: client_31: 'dog'
Global ID = 40 | from: client_31: 'ship'
Global ID = 41 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.7
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'frog', client_23: 'frog', client_26: 'frog', client_31: 'frog'
Global ID = 1  | from: client_22: 'dog', client_23: 'bird', client_25: 'deer', client_27: 'bird', client_28: 'cat', client_29: 'truck', client_30: 'dog'
Global ID = 2  | from: client_22: 'airplane', client_23: 'airplane', client_26: 'airplane', client_28: 'airplane'
Global ID = 3  | from: client_22: 'automobile', client_23: 'horse', client_25: 'ship', client_26: 'truck', client_27: 'ship', client_28: 'automobile', client_30: 'ship', client_31: 'horse'
Global ID = 4  | from: client_22: 'bird'
Global ID = 5  | from: client_22: 'cat'
Global ID = 6  | from: client_23: 'cat'
Global ID = 7  | from: client_23: 'deer'
Global ID = 8  | from: client_24: 'deer'
Global ID = 9  | from: client_24: 'dog'
Global ID = 10 | from: client_25: 'airplane'
Global ID = 11 | from: client_25: 'automobile'
Global ID = 12 | from: client_25: 'bird'
Global ID = 13 | from: client_25: 'horse'
Global ID = 14 | from: client_25: 'truck'
Global ID = 15 | from: client_26: 'cat'
Global ID = 16 | from: client_26: 'horse'
Global ID = 17 | from: client_26: 'ship'
Global ID = 18 | from: client_27: 'airplane'
Global ID = 19 | from: client_27: 'automobile'
Global ID = 20 | from: client_27: 'deer'
Global ID = 21 | from: client_27: 'dog'
Global ID = 22 | from: client_27: 'frog'
Global ID = 23 | from: client_27: 'horse'
Global ID = 24 | from: client_28: 'dog'
Global ID = 25 | from: client_28: 'horse'
Global ID = 26 | from: client_28: 'truck'
Global ID = 27 | from: client_29: 'bird'
Global ID = 28 | from: client_29: 'horse'
Global ID = 29 | from: client_29: 'ship'
Global ID = 30 | from: client_30: 'frog'
Global ID = 31 | from: client_30: 'horse'
Global ID = 32 | from: client_31: 'airplane'
Global ID = 33 | from: client_31: 'automobile'
Global ID = 34 | from: client_31: 'bird'
Global ID = 35 | from: client_31: 'cat'
Global ID = 36 | from: client_31: 'deer'
Global ID = 37 | from: client_31: 'dog'
Global ID = 38 | from: client_31: 'ship'
Global ID = 39 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.8
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'dog', client_23: 'bird', client_27: 'horse', client_28: 'cat', client_30: 'dog', client_31: 'horse'
Global ID = 2  | from: client_22: 'airplane', client_23: 'airplane', client_25: 'bird', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_30: 'ship'
Global ID = 3  | from: client_22: 'automobile', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck'
Global ID = 4  | from: client_22: 'frog', client_23: 'frog', client_25: 'deer', client_26: 'frog', client_27: 'bird', client_31: 'frog'
Global ID = 5  | from: client_22: 'bird'
Global ID = 6  | from: client_22: 'cat'
Global ID = 7  | from: client_23: 'cat'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_23: 'horse'
Global ID = 10 | from: client_24: 'deer'
Global ID = 11 | from: client_24: 'dog'
Global ID = 12 | from: client_25: 'airplane'
Global ID = 13 | from: client_25: 'automobile'
Global ID = 14 | from: client_25: 'horse'
Global ID = 15 | from: client_25: 'ship'
Global ID = 16 | from: client_25: 'truck'
Global ID = 17 | from: client_26: 'cat'
Global ID = 18 | from: client_26: 'horse'
Global ID = 19 | from: client_26: 'ship'
Global ID = 20 | from: client_27: 'airplane'
Global ID = 21 | from: client_27: 'deer'
Global ID = 22 | from: client_27: 'dog'
Global ID = 23 | from: client_27: 'frog'
Global ID = 24 | from: client_28: 'dog'
Global ID = 25 | from: client_28: 'horse'
Global ID = 26 | from: client_28: 'truck'
Global ID = 27 | from: client_29: 'bird'
Global ID = 28 | from: client_29: 'horse'
Global ID = 29 | from: client_29: 'ship'
Global ID = 30 | from: client_30: 'frog'
Global ID = 31 | from: client_30: 'horse'
Global ID = 32 | from: client_31: 'airplane'
Global ID = 33 | from: client_31: 'automobile'
Global ID = 34 | from: client_31: 'bird'
Global ID = 35 | from: client_31: 'cat'
Global ID = 36 | from: client_31: 'deer'
Global ID = 37 | from: client_31: 'dog'
Global ID = 38 | from: client_31: 'ship'
Global ID = 39 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.9
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_25: 'ship', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_30: 'ship'
Global ID = 1  | from: client_22: 'dog', client_23: 'bird', client_25: 'bird', client_27: 'bird', client_28: 'cat', client_29: 'truck', client_30: 'dog', client_31: 'horse'
Global ID = 2  | from: client_22: 'frog', client_23: 'frog', client_25: 'deer', client_26: 'frog', client_31: 'frog'
Global ID = 3  | from: client_22: 'automobile', client_26: 'truck', client_27: 'automobile', client_28: 'automobile'
Global ID = 4  | from: client_23: 'horse', client_27: 'horse'
Global ID = 5  | from: client_22: 'bird'
Global ID = 6  | from: client_22: 'cat'
Global ID = 7  | from: client_23: 'cat'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_24: 'deer'
Global ID = 10 | from: client_24: 'dog'
Global ID = 11 | from: client_25: 'airplane'
Global ID = 12 | from: client_25: 'automobile'
Global ID = 13 | from: client_25: 'horse'
Global ID = 14 | from: client_25: 'truck'
Global ID = 15 | from: client_26: 'cat'
Global ID = 16 | from: client_26: 'horse'
Global ID = 17 | from: client_26: 'ship'
Global ID = 18 | from: client_27: 'airplane'
Global ID = 19 | from: client_27: 'deer'
Global ID = 20 | from: client_27: 'dog'
Global ID = 21 | from: client_27: 'frog'
Global ID = 22 | from: client_28: 'dog'
Global ID = 23 | from: client_28: 'horse'
Global ID = 24 | from: client_28: 'truck'
Global ID = 25 | from: client_29: 'bird'
Global ID = 26 | from: client_29: 'horse'
Global ID = 27 | from: client_29: 'ship'
Global ID = 28 | from: client_30: 'frog'
Global ID = 29 | from: client_30: 'horse'
Global ID = 30 | from: client_31: 'airplane'
Global ID = 31 | from: client_31: 'automobile'
Global ID = 32 | from: client_31: 'bird'
Global ID = 33 | from: client_31: 'cat'
Global ID = 34 | from: client_31: 'deer'
Global ID = 35 | from: client_31: 'dog'
Global ID = 36 | from: client_31: 'ship'
Global ID = 37 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 1.0
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_30: 'ship'
Global ID = 1  | from: client_22: 'frog', client_23: 'frog', client_24: 'deer', client_25: 'deer', client_26: 'frog', client_30: 'frog', client_31: 'frog'
Global ID = 2  | from: client_22: 'automobile', client_27: 'automobile'
Global ID = 3  | from: client_22: 'dog', client_23: 'horse', client_27: 'horse', client_28: 'cat', client_30: 'dog', client_31: 'horse'
Global ID = 5  | from: client_23: 'bird', client_26: 'truck', client_27: 'bird', client_28: 'automobile', client_29: 'truck'
Global ID = 6  | from: client_22: 'bird'
Global ID = 7  | from: client_22: 'cat'
Global ID = 8  | from: client_23: 'cat'
Global ID = 9  | from: client_23: 'deer'
Global ID = 10 | from: client_24: 'dog'
Global ID = 11 | from: client_25: 'airplane'
Global ID = 12 | from: client_25: 'automobile'
Global ID = 13 | from: client_25: 'bird'
Global ID = 14 | from: client_25: 'horse'
Global ID = 15 | from: client_25: 'ship'
Global ID = 16 | from: client_25: 'truck'
Global ID = 17 | from: client_26: 'cat'
Global ID = 18 | from: client_26: 'horse'
Global ID = 19 | from: client_26: 'ship'
Global ID = 20 | from: client_27: 'airplane'
Global ID = 21 | from: client_27: 'deer'
Global ID = 22 | from: client_27: 'dog'
Global ID = 23 | from: client_27: 'frog'
Global ID = 24 | from: client_28: 'dog'
Global ID = 25 | from: client_28: 'horse'
Global ID = 26 | from: client_28: 'truck'
Global ID = 27 | from: client_29: 'bird'
Global ID = 28 | from: client_29: 'horse'
Global ID = 29 | from: client_29: 'ship'
Global ID = 30 | from: client_30: 'horse'
Global ID = 31 | from: client_31: 'airplane'
Global ID = 32 | from: client_31: 'automobile'
Global ID = 33 | from: client_31: 'bird'
Global ID = 34 | from: client_31: 'cat'
Global ID = 35 | from: client_31: 'deer'
Global ID = 36 | from: client_31: 'dog'
Global ID = 37 | from: client_31: 'ship'
Global ID = 38 | from: client_31: 'truck'
==================================================

