
##################################################
Entropy Ratio = 0.1
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_24: 'dog'
Global ID = 14 | from: client_26: 'ship'
Global ID = 15 | from: client_27: 'airplane'
Global ID = 16 | from: client_27: 'deer'
Global ID = 17 | from: client_27: 'frog'
Global ID = 18 | from: client_27: 'horse'
Global ID = 19 | from: client_28: 'dog'
Global ID = 20 | from: client_28: 'truck'
Global ID = 21 | from: client_29: 'horse'
Global ID = 22 | from: client_30: 'frog'
Global ID = 23 | from: client_30: 'horse'
Global ID = 24 | from: client_31: 'airplane'
Global ID = 25 | from: client_31: 'automobile'
Global ID = 26 | from: client_31: 'bird'
Global ID = 27 | from: client_31: 'cat'
Global ID = 28 | from: client_31: 'deer'
Global ID = 29 | from: client_31: 'dog'
Global ID = 30 | from: client_31: 'ship'
Global ID = 31 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.5
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_24: 'dog', client_25: 'truck', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_29: 'ship', client_30: 'dog'
Global ID = 1  | from: client_22: 'cat', client_23: 'horse', client_24: 'deer', client_25: 'deer', client_27: 'dog', client_28: 'dog', client_29: 'bird', client_31: 'horse'
Global ID = 2  | from: client_22: 'automobile', client_23: 'deer', client_25: 'automobile', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck'
Global ID = 3  | from: client_22: 'bird', client_23: 'cat', client_25: 'bird', client_26: 'frog', client_27: 'deer', client_28: 'cat'
Global ID = 4  | from: client_23: 'bird', client_27: 'bird'
Global ID = 5  | from: client_23: 'frog', client_30: 'frog', client_31: 'frog'
Global ID = 6  | from: client_25: 'airplane', client_30: 'ship'
Global ID = 7  | from: client_22: 'dog'
Global ID = 8  | from: client_22: 'frog'
Global ID = 9  | from: client_25: 'horse'
Global ID = 10 | from: client_25: 'ship'
Global ID = 11 | from: client_26: 'cat'
Global ID = 12 | from: client_26: 'horse'
Global ID = 13 | from: client_26: 'ship'
Global ID = 14 | from: client_27: 'airplane'
Global ID = 15 | from: client_27: 'frog'
Global ID = 16 | from: client_27: 'horse'
Global ID = 17 | from: client_28: 'horse'
Global ID = 18 | from: client_28: 'truck'
Global ID = 19 | from: client_29: 'horse'
Global ID = 20 | from: client_30: 'horse'
Global ID = 21 | from: client_31: 'airplane'
Global ID = 22 | from: client_31: 'automobile'
Global ID = 23 | from: client_31: 'bird'
Global ID = 24 | from: client_31: 'cat'
Global ID = 25 | from: client_31: 'deer'
Global ID = 26 | from: client_31: 'dog'
Global ID = 27 | from: client_31: 'ship'
Global ID = 28 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.6
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_24: 'dog', client_25: 'ship', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_29: 'ship', client_30: 'dog', client_31: 'horse'
Global ID = 1  | from: client_22: 'bird', client_23: 'horse', client_24: 'deer', client_25: 'truck', client_26: 'frog', client_27: 'bird', client_28: 'cat'
Global ID = 2  | from: client_22: 'automobile', client_23: 'bird', client_25: 'deer', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck'
Global ID = 3  | from: client_22: 'cat', client_25: 'bird', client_29: 'bird'
Global ID = 4  | from: client_22: 'frog', client_23: 'frog', client_27: 'frog', client_30: 'frog', client_31: 'frog'
Global ID = 5  | from: client_25: 'airplane', client_30: 'ship'
Global ID = 6  | from: client_22: 'dog'
Global ID = 7  | from: client_23: 'cat'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_25: 'automobile'
Global ID = 10 | from: client_25: 'horse'
Global ID = 11 | from: client_26: 'cat'
Global ID = 12 | from: client_26: 'horse'
Global ID = 13 | from: client_26: 'ship'
Global ID = 14 | from: client_27: 'airplane'
Global ID = 15 | from: client_27: 'deer'
Global ID = 16 | from: client_27: 'dog'
Global ID = 17 | from: client_27: 'horse'
Global ID = 18 | from: client_28: 'dog'
Global ID = 19 | from: client_28: 'horse'
Global ID = 20 | from: client_28: 'truck'
Global ID = 21 | from: client_29: 'horse'
Global ID = 22 | from: client_30: 'horse'
Global ID = 23 | from: client_31: 'airplane'
Global ID = 24 | from: client_31: 'automobile'
Global ID = 25 | from: client_31: 'bird'
Global ID = 26 | from: client_31: 'cat'
Global ID = 27 | from: client_31: 'deer'
Global ID = 28 | from: client_31: 'dog'
Global ID = 29 | from: client_31: 'ship'
Global ID = 30 | from: client_31: 'truck'
==================================================


##################################################
Entropy Ratio = 0.7
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_24: 'dog', client_25: 'ship', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_29: 'ship', client_30: 'dog', client_31: 'horse'
Global ID = 1  | from: client_22: 'bird', client_23: 'horse', client_24: 'deer', client_25: 'truck', client_26: 'frog', client_27: 'bird', client_28: 'cat'
Global ID = 2  | from: client_22: 'automobile', client_23: 'bird', client_25: 'deer', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck', client_31: 'truck'
Global ID = 3  | from: client_22: 'cat', client_25: 'bird', client_29: 'bird'
Global ID = 4  | from: client_22: 'frog', client_23: 'frog', client_27: 'deer', client_30: 'frog', client_31: 'frog'
Global ID = 5  | from: client_23: 'cat', client_25: 'horse', client_27: 'horse'
Global ID = 6  | from: client_25: 'airplane', client_30: 'ship'
Global ID = 7  | from: client_22: 'dog'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_25: 'automobile'
Global ID = 10 | from: client_26: 'cat'
Global ID = 11 | from: client_26: 'horse'
Global ID = 12 | from: client_26: 'ship'
Global ID = 13 | from: client_27: 'airplane'
Global ID = 14 | from: client_27: 'dog'
Global ID = 15 | from: client_27: 'frog'
Global ID = 16 | from: client_28: 'dog'
Global ID = 17 | from: client_28: 'horse'
Global ID = 18 | from: client_28: 'truck'
Global ID = 19 | from: client_29: 'horse'
Global ID = 20 | from: client_30: 'horse'
Global ID = 21 | from: client_31: 'airplane'
Global ID = 22 | from: client_31: 'automobile'
Global ID = 23 | from: client_31: 'bird'
Global ID = 24 | from: client_31: 'cat'
Global ID = 25 | from: client_31: 'deer'
Global ID = 26 | from: client_31: 'dog'
Global ID = 27 | from: client_31: 'ship'
==================================================


##################################################
Entropy Ratio = 0.8
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_24: 'dog', client_25: 'ship', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_29: 'ship', client_30: 'dog', client_31: 'horse'
Global ID = 1  | from: client_22: 'bird', client_23: 'horse', client_24: 'deer', client_25: 'truck', client_26: 'frog', client_27: 'bird', client_28: 'cat'
Global ID = 2  | from: client_22: 'automobile', client_23: 'bird', client_25: 'deer', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck', client_31: 'truck'
Global ID = 3  | from: client_22: 'cat', client_25: 'bird', client_29: 'bird'
Global ID = 4  | from: client_22: 'frog', client_23: 'frog', client_27: 'deer', client_30: 'frog', client_31: 'frog'
Global ID = 5  | from: client_23: 'cat', client_25: 'horse', client_27: 'horse'
Global ID = 6  | from: client_25: 'airplane', client_30: 'ship'
Global ID = 7  | from: client_22: 'dog'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_25: 'automobile'
Global ID = 10 | from: client_26: 'cat'
Global ID = 11 | from: client_26: 'horse'
Global ID = 12 | from: client_26: 'ship'
Global ID = 13 | from: client_27: 'airplane'
Global ID = 14 | from: client_27: 'dog'
Global ID = 15 | from: client_27: 'frog'
Global ID = 16 | from: client_28: 'dog'
Global ID = 17 | from: client_28: 'horse'
Global ID = 18 | from: client_28: 'truck'
Global ID = 19 | from: client_29: 'horse'
Global ID = 20 | from: client_30: 'horse'
Global ID = 21 | from: client_31: 'airplane'
Global ID = 22 | from: client_31: 'automobile'
Global ID = 23 | from: client_31: 'bird'
Global ID = 24 | from: client_31: 'cat'
Global ID = 25 | from: client_31: 'deer'
Global ID = 26 | from: client_31: 'dog'
Global ID = 27 | from: client_31: 'ship'
==================================================


##################################################
Entropy Ratio = 0.9
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_24: 'dog', client_25: 'ship', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_29: 'ship', client_30: 'dog', client_31: 'horse'
Global ID = 1  | from: client_22: 'bird', client_23: 'horse', client_24: 'deer', client_25: 'truck', client_26: 'frog', client_27: 'bird', client_28: 'cat'
Global ID = 2  | from: client_22: 'automobile', client_23: 'bird', client_25: 'deer', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck', client_31: 'truck'
Global ID = 3  | from: client_22: 'cat', client_25: 'bird', client_29: 'bird'
Global ID = 4  | from: client_22: 'frog', client_23: 'frog', client_27: 'deer', client_30: 'frog', client_31: 'frog'
Global ID = 5  | from: client_23: 'cat', client_25: 'horse', client_27: 'horse'
Global ID = 6  | from: client_25: 'airplane', client_30: 'ship'
Global ID = 7  | from: client_22: 'dog'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_25: 'automobile'
Global ID = 10 | from: client_26: 'cat'
Global ID = 11 | from: client_26: 'horse'
Global ID = 12 | from: client_26: 'ship'
Global ID = 13 | from: client_27: 'airplane'
Global ID = 14 | from: client_27: 'dog'
Global ID = 15 | from: client_27: 'frog'
Global ID = 16 | from: client_28: 'dog'
Global ID = 17 | from: client_28: 'horse'
Global ID = 18 | from: client_28: 'truck'
Global ID = 19 | from: client_29: 'horse'
Global ID = 20 | from: client_30: 'horse'
Global ID = 21 | from: client_31: 'airplane'
Global ID = 22 | from: client_31: 'automobile'
Global ID = 23 | from: client_31: 'bird'
Global ID = 24 | from: client_31: 'cat'
Global ID = 25 | from: client_31: 'deer'
Global ID = 26 | from: client_31: 'dog'
Global ID = 27 | from: client_31: 'ship'
==================================================


##################################################
Entropy Ratio = 1.0
##################################################

==================================================
Label Mapping Summary:
Global ID = 0  | from: client_22: 'airplane', client_23: 'airplane', client_24: 'dog', client_25: 'ship', client_26: 'airplane', client_27: 'ship', client_28: 'airplane', client_29: 'ship', client_30: 'dog', client_31: 'horse'
Global ID = 1  | from: client_22: 'bird', client_23: 'horse', client_24: 'deer', client_25: 'truck', client_26: 'frog', client_27: 'bird', client_28: 'cat'
Global ID = 2  | from: client_22: 'automobile', client_23: 'bird', client_25: 'deer', client_26: 'truck', client_27: 'automobile', client_28: 'automobile', client_29: 'truck', client_31: 'truck'
Global ID = 3  | from: client_22: 'cat', client_25: 'bird', client_29: 'bird'
Global ID = 4  | from: client_22: 'frog', client_23: 'frog', client_27: 'deer', client_30: 'frog', client_31: 'frog'
Global ID = 5  | from: client_23: 'cat', client_25: 'horse', client_27: 'horse'
Global ID = 6  | from: client_25: 'airplane', client_30: 'ship'
Global ID = 7  | from: client_22: 'dog'
Global ID = 8  | from: client_23: 'deer'
Global ID = 9  | from: client_25: 'automobile'
Global ID = 10 | from: client_26: 'cat'
Global ID = 11 | from: client_26: 'horse'
Global ID = 12 | from: client_26: 'ship'
Global ID = 13 | from: client_27: 'airplane'
Global ID = 14 | from: client_27: 'dog'
Global ID = 15 | from: client_27: 'frog'
Global ID = 16 | from: client_28: 'dog'
Global ID = 17 | from: client_28: 'horse'
Global ID = 18 | from: client_28: 'truck'
Global ID = 19 | from: client_29: 'horse'
Global ID = 20 | from: client_30: 'horse'
Global ID = 21 | from: client_31: 'airplane'
Global ID = 22 | from: client_31: 'automobile'
Global ID = 23 | from: client_31: 'bird'
Global ID = 24 | from: client_31: 'cat'
Global ID = 25 | from: client_31: 'deer'
Global ID = 26 | from: client_31: 'dog'
Global ID = 27 | from: client_31: 'ship'
==================================================

